emotion, precent,
sad,60%,
sad,54%,
sad,56%,
sad,61%,
sad,51%,
sad,66%,
sad,60%,
sad,70%,
sad,58%,
sad,69%,
sad,55%,
sad,61%,
sad,68%,
sad,65%,
sad,63%,
sad,51%,
sad,60%,
sad,50%,
sad,53%,
sad,59%,
sad,67%,
sad,64%,
sad,64%,
sad,59%,
sad,73%,
sad,61%,
sad,55%,
sad,61%,
sad,64%,
sad,68%,
sad,51%,
sad,56%,
sad,63%,
sad,63%,
sad,67%,
sad,58%,
sad,57%,
sad,58%,
sad,60%,
sad,53%,
sad,65%,
sad,59%,
angry,65%,
sad,65%,
sad,51%,
sad,64%,
sad,66%,
sad,70%,
sad,59%,
sad,59%,
sad,67%,
sad,77%,
angry,84%,
sad,67%,
sad,76%,
sad,60%,
sad,60%,
sad,71%,
sad,56%,
sad,67%,
sad,73%,
sad,67%,
sad,56%,
angry,73%,
sad,66%,
sad,70%,
sad,69%,
sad,58%,
sad,69%,
sad,64%,
sad,67%,
sad,73%,
sad,56%,
happy,87%,
sad,51%,
angry,51%,
angry,69%,
sad,66%,
angry,64%,
sad,61%,
sad,63%,
sad,63%,
sad,51%,
sad,63%,
sad,56%,
angry,67%,
sad,64%,
sad,62%,
sad,61%,
sad,69%,
angry,51%,
sad,56%,
neutral,59%,
neutral,51%,
neutral,53%,
neutral,50%,
sad,51%,
happy,68%,
happy,69%,
neutral,57%,
neutral,79%,
neutral,75%,
sad,68%,
neutral,61%,
neutral,65%,
neutral,57%,
neutral,55%,
sad,55%,
sad,52%,
sad,55%,
neutral,64%,
sad,50%,
neutral,62%,
neutral,66%,
happy,61%,
neutral,55%,
neutral,55%,
angry,57%,
neutral,63%,
happy,55%,
neutral,62%,
neutral,68%,
happy,69%,
neutral,56%,
neutral,68%,
neutral,65%,
neutral,59%,
neutral,58%,
neutral,65%,
angry,51%,
neutral,63%,
sad,69%,
neutral,63%,
sad,66%,
neutral,74%,
neutral,64%,
sad,80%,
neutral,54%,
neutral,76%,
neutral,59%,
neutral,69%,
neutral,50%,
happy,56%,
neutral,54%,
neutral,58%,
neutral,57%,
neutral,51%,
sad,50%,
sad,82%,
neutral,50%,
neutral,61%,
sad,53%,
neutral,80%,
happy,86%,
sad,54%,
happy,74%,
sad,55%,
sad,68%,
happy,59%,
neutral,65%,
neutral,53%,
neutral,80%,
neutral,71%,
neutral,75%,
neutral,64%,
neutral,56%,
neutral,66%,
neutral,67%,
neutral,67%,
neutral,74%,
neutral,84%,
neutral,88%,
neutral,78%,
neutral,79%,
happy,89%,
happy,86%,
happy,92%,
happy,94%,
happy,65%,
neutral,61%,
neutral,54%,
neutral,54%,
neutral,54%,
neutral,54%,
neutral,54%,
neutral,54%,
sad,61%,
happy,86%,
sad,50%,
happy,98%,
happy,97%,
happy,99%,
happy,98%,
happy,99%,
sad,63%,
happy,95%,
neutral,76%,
neutral,73%,
neutral,72%,
neutral,60%,
happy,71%,
neutral,52%,
angry,61%,
angry,73%,
happy,54%,
neutral,80%,
neutral,69%,
neutral,52%,
happy,89%,
angry,89%,
angry,61%,
angry,93%,
angry,84%,
angry,86%,
angry,95%,
angry,84%,
happy,84%,
happy,86%,
happy,96%,
happy,98%,
happy,91%,
happy,98%,
neutral,58%,
happy,75%,
happy,73%,
neutral,72%,
neutral,53%,
neutral,70%,
neutral,55%,
neutral,78%,
neutral,68%,
angry,64%,
angry,56%,
happy,87%,
happy,81%,
happy,96%,
happy,87%,
happy,59%,
happy,91%,
happy,91%,
sad,55%,
happy,94%,
happy,92%,
happy,89%,
happy,96%,
neutral,58%,
neutral,67%,
neutral,78%,
neutral,58%,
neutral,54%,
happy,67%,
neutral,51%,
neutral,56%,
happy,57%,
happy,86%,
happy,74%,
neutral,53%,
happy,98%,
happy,52%,
neutral,57%,
neutral,64%,
happy,63%,
happy,98%,
happy,59%,
happy,50%,
sad,64%,
happy,50%,
happy,71%,
happy,76%,
happy,71%,
neutral,52%,
neutral,68%,
neutral,81%,
happy,73%,
happy,63%,
angry,54%,
happy,54%,
neutral,52%,
happy,80%,
happy,71%,
happy,56%,
happy,64%,
happy,97%,
happy,89%,
happy,79%,
happy,79%,
happy,89%,
happy,92%,
happy,93%,
happy,88%,
happy,96%,
happy,87%,
happy,74%,
happy,51%,
happy,80%,
happy,86%,
happy,88%,
happy,85%,
angry,60%,
happy,91%,
angry,60%,
happy,94%,
happy,94%,
happy,94%,
happy,51%,
sad,60%,
happy,63%,
happy,86%,
happy,88%,
happy,98%,
sad,58%,
happy,97%,
happy,96%,
happy,99%,
neutral,86%,
happy,93%,
happy,52%,
happy,99%,
happy,82%,
happy,94%,
